,Longitude,Latitude,Site context,Temperature,Pressure_min,Pressure,Full spreading rate,km/yr (full),half spreading rate,km/yr (half),crustal_thickness,reference,blockmedian length km,blockmedian width km,blockmedian area km2,full Spreading rate (km/yr),MQ
ex_row_2,-22.72,63.82,RVZ (Reykjanes-Svartsengi),1175.858986,1.969793999,1.969793999,18.8,0.0000188,9.4,0.0000094,15,Weir 2001 line A,45,13,585,0.0000188,0.0000188
ex_row_3,-23.815,63.4665,Reykjanes Ridge,1183.435508,3.664357016,3.664357016,18.9,0.0000189,9.45,0.00000945,14,"Weir et al., 2001",50,15,750,0.0000189,0.00001764
ex_row_4,-23.41,63.64,Reykjanes Ridge,1191.74143,3.364928101,3.364928101,18.9,0.0000189,9.45,0.00000945,14.2,"Weir et al., 2001",50,15,750,0.0000189,0.000017892
ex_row_5,-24.787,62.9645,Reykjanes Ridge,1196.309661,4.078535599,4.078535599,19.1,0.0000191,9.55,0.00000955,11.5,"Weir et al., 2001",50,15,750,0.0000191,1.46E-05
ex_row_6,-25.5,62.5465,Reykjanes Ridge,1198.344179,4.339035431,4.339035431,19.2,0.0000192,9.6,0.0000096,11.05,"Weir et al., 2001",50,15,750,0.0000192,0.000014144
ex_row_7,-25.17,62.73,Reykjanes Ridge,1199.144452,4.253741233,4.253741233,19.2,0.0000192,9.6,0.0000096,11.2,"Weir et al., 2001",50,15,750,0.0000192,0.000014336
ex_row_8,-26.5,62,Reykjanes Ridge,1197.219959,3.855037114,3.855037114,19.3,0.0000193,9.65,0.00000965,10.26,"Jones et al., 2014",50,15,750,0.0000193,1.32E-05
ex_row_9,-25.921,62.301,Reykjanes Ridge,1194.641891,3.175579273,3.175579273,19.2,0.0000192,9.6,0.0000096,10.75,"Jones et al., 2014",50,15,750,0.0000192,0.00001376
ex_row_10,-26.86,61.77,Reykjanes Ridge,1191.506295,3.374624841,3.374624841,19.4,0.0000194,9.7,0.0000097,10.6,"Jones et al., 2014",50,15,750,0.0000194,1.37E-05
ex_row_11,-27.6,61.263,Reykjanes Ridge,1201.136532,3.836517103,3.836517103,19.5,0.0000195,9.75,0.00000975,9.71,"Jones et al., 2014",50,15,750,0.0000195,0.000012623
ex_row_12,-28.33,60.7765,Reykjanes Ridge,1200.940619,3.658248617,3.658248617,19.6,0.0000196,9.8,0.0000098,9.31,"Jones et al., 2014",50,15,750,0.0000196,1.22E-05
ex_row_13,-27.955,61.024,Reykjanes Ridge,1202.306643,2.887886296,2.887886296,19.6,0.0000196,9.8,0.0000098,9.44,"Jones et al., 2014",50,15,750,0.0000196,1.23E-05
ex_row_14,-29.087,60.307,Reykjanes Ridge,1201.370054,2.830482706,2.830482706,19.7,0.0000197,9.85,0.00000985,9.53,"Jones et al., 2014",50,15,750,0.0000197,1.25E-05
ex_row_15,-28.712,60.463,Reykjanes Ridge,1198.165983,3.354851121,3.354851121,19.7,0.0000197,9.85,0.00000985,9.37,"Jones et al., 2014",50,15,750,0.0000197,1.23E-05
ex_row_16,-29.841,59.77,Reykjanes Ridge,1199.481655,3.345856113,3.345856113,19.9,0.0000199,9.95,0.00000995,8.98,"Jones et al., 2014",50,15,750,0.0000199,1.19E-05
ex_row_17,-29.48415,59.999,Reykjanes Ridge,1204.3383,3.207406361,3.207406361,19.8,0.0000198,9.9,0.0000099,9.25,"Jones et al., 2014",50,15,750,0.0000198,0.00001221
ex_row_18,-30.037,59.597,Reykjanes Ridge,1200.957131,3.657980351,3.657980351,19.9,0.0000199,9.95,0.00000995,8.4,"Jones et al., 2014",50,15,750,0.0000199,0.000011144
ex_row_19,-30.9215,58.9385,Reykjanes Ridge,1214.877182,4.482994499,4.482994499,20,0.00002,10,0.00001,6.71,"Jones et al., 2014",50,15,750,0.00002,8.95E-06
ex_row_20,-30.49,59.223,Reykjanes Ridge,1211.549871,5.292912305,5.292912305,20,0.00002,10,0.00001,7.5,"Jones et al., 2014",50,15,750,0.00002,0.00001
ex_row_21,-31.66,58.5,Reykjanes Ridge,1215.20333,5.417278393,5.417278393,20.1,0.0000201,10.05,0.00001005,6.61,"Jones et al., 2014",50,15,750,0.0000201,8.86E-06
ex_row_22,-31.317,58.705,Reykjanes Ridge,1209.976286,3.723403275,3.723403275,20.1,0.0000201,10.05,0.00001005,6.61,"Jones et al., 2014",50,15,750,0.0000201,8.86E-06
ex_row_23,-32.373,57.969,Reykjanes Ridge,1214.866464,4.760470728,4.760470728,20.3,0.0000203,10.15,0.00001015,6.75,"Jones et al., 2014",50,15,750,0.0000203,0.000009135
ex_row_24,-32.209,58.088,Reykjanes Ridge,1215.325694,4.234850788,4.234850788,20.2,0.0000202,10.1,0.0000101,6.75,"Jones et al., 2014",50,15,750,0.0000202,0.00000909
ex_row_25,-32.693,57.72,Reykjanes Ridge,1210.275276,4.684654663,4.684654663,20.3,0.0000203,10.15,0.00001015,7.15,"Jones et al., 2014",50,15,750,0.0000203,9.68E-06
ex_row_26,-34.261,56.749,Reykjanes Ridge,1219.486767,5.019788518,5.019788518,20.5,0.0000205,10.25,0.00001025,7.23,"Jones et al., 2014",50,15,750,0.0000205,0.000009881
ex_row_27,-34.96,55.686,ridge/fracture zone transition,1225.167382,5.149368601,5.149368601,20.7,0.0000207,10.35,0.00001035,6.62,"Jones et al., 2014",50,15,750,0.0000207,9.14E-06
ex_row_28,-35.135,55.455,ridge/fracture zone transition,1221.579809,4.82214206,4.82214206,20.8,0.0000208,10.4,0.0000104,6.6,"Jones et al., 2014",50,15,750,0.0000208,0.000009152
ex_row_48,-35.22,54.76,ridge/fracture zone transition,1206.129389,4.195621874,4.195621874,20.9,0.0000209,10.45,0.00001045,6.07,extrapolated,50,15,750,0.0000209,8.46E-06
ex_row_49,-35.4,54.25,fracture zones resume,1231.107104,6.765822774,6.765822774,21,0.000021,10.5,0.0000105,5.53,extrapolated,50,15,750,0.000021,0.000007742
ex_row_50,-34.978,52.993,fracture zones resume,1211.818275,4.443116241,4.443116241,21.2,0.0000212,10.6,0.0000106,5,Whitmarsh and Clavert 1986,50,15,750,0.0000212,7.07E-06
ex_row_51,-31.935,52.45,fracture zones resume,1208.307172,5.860482322,5.860482322,21.3,0.0000213,10.65,0.00001065,4.4,extrapolated,50,15,750,0.0000213,0.000006248
ex_row_52,-30.07,51.84,fracture zones resume,1221.792694,6.317496102,6.317496102,21.4,0.0000214,10.7,0.0000107,3.8,Whitmarsh and Clavert 1986,50,15,750,0.0000214,5.42E-06
